E	I
0	32.34111111111111
0.2	31.83111111111111
0.4	32.57222222222222
0.6	32.25555555555555
0.8	1.7755555555555556
1.0	4.065555555555555
1.2	11.95111111111111
1.4	36.882222222222225
1.6	99.97444444444444
1.8	168.69666666666666
2.0	225.24555555555557
2.2	227.45333333333335
2.4	226.39444444444445
2.6	221.5911111111111
2.8	186.30777777777777
3.0	168.75666666666666
3.2	158.6677777777778
3.4	147.8711111111111
3.6	147.7511111111111
3.8	145.0388888888889
4.0	141.65666666666667
4.2	126.6588888888889
4.4	114.95444444444445
4.6	107.06555555555556
4.8	107.30777777777777
5.0	106.31
5.2	104.19222222222223
5.4	104.16111111111111
5.6	97.86333333333333
5.8	91.9888888888889
6.0	86.83333333333333
6.2	84.96444444444444
6.4	86.55888888888889
6.6	90.4811111111111
6.8	94.69333333333333
7.0	98.08
7.2	107.57444444444444
7.4	114.52777777777777
7.6	123.29222222222222
7.8	119.98555555555555
8.0	117.78555555555556
8.2	118.62
8.4	119.31222222222222
8.6	118.6288888888889
8.8	125.93444444444444
9.0	108.38666666666667
9.2	92.86333333333333
9.4	83.15666666666667
9.6	75.7088888888889
9.8	70.4811111111111
10.0	66.92333333333333
10.2	63.035555555555554
10.4	61.75333333333333
10.6	60.28777777777778
10.8	58.61
11.0	57.117777777777775
11.2	56.97555555555556
11.4	57.59
11.6	59.51777777777778
11.8	60.49333333333333
12.0	61.93333333333333
12.2	63.69555555555556
12.4	67.22444444444444
12.6	68.21111111111111
12.8	71.99555555555555
13.0	73.88444444444444
13.2	77.26666666666667
13.4	81.49444444444444
13.6	82.97222222222223
13.8	90.84555555555555
14.0	96.9
14.2	99.39222222222222
14.4	106.19444444444444
14.6	112.43777777777778
14.8	117.55333333333333
15.0	119.31
15.2	123.60444444444444
15.4	126.46222222222222
15.6	126.48
15.8	126.80222222222223
16.0	128.29888888888888
16.2	126.44444444444444
16.4	124.68777777777778
16.6	120.93222222222222
16.8	118.17222222222222
17.0	113.23555555555555
17.2	109.29888888888888
17.4	110.47444444444444
17.6	109.52444444444444
17.8	107.49
18.0	108.62777777777778
18.2	106.70333333333333
18.4	115.43888888888888
18.6	117.96777777777778
18.8	121.7388888888889
19.0	127.15555555555555
19.2	124.70333333333333
19.4	132.73888888888888
19.6	133.23888888888888
19.8	139.55777777777777
20.0	137.15666666666667
20.2	136.03333333333333
20.4	140.65666666666667
20.6	142.7288888888889
20.8	141.85444444444445
21.0	142.55444444444444
21.2	142.64333333333335
21.4	142.54555555555555
21.6	141.24
21.8	137.64555555555555
22.0	133.98444444444445
22.2	136.6888888888889
22.4	136.9711111111111
22.6	128.58777777777777
22.8	129.11333333333334
23.0	126.09777777777778
23.2	126.76222222222222
23.4	125.60333333333334
23.6	120.07888888888888
23.8	119.98444444444445
24.0	118.48555555555555
24.2	121.35666666666667
24.4	116.54777777777778
24.6	114.78
24.8	115.69333333333333
25.0	112.14
25.2	114.27555555555556
25.4	49.55777777777778
25.6	109.10333333333334
25.8	105.9888888888889
26.0	106.96111111111111
26.2	108.01222222222222
26.4	105.54222222222222
26.6	106.94777777777777
26.8	106.85777777777778
27.0	102.03333333333333
27.2	97.06333333333333
27.4	92.30555555555556
27.6	84.13888888888889
27.8	88.46111111111111
28.0	84.21555555555555
28.2	79.35777777777778
28.4	73.33777777777777
28.6	75.5
28.8	77.36
29.0	75.63444444444444
29.2	77.9
29.4	76.16888888888889
29.6	73.81
29.8	76.99333333333334
30.0	76.15555555555555
30.2	76.32444444444444
30.4	78.27888888888889
30.6	83.27666666666667
30.8	82.79444444444445
31.0	83.11888888888889
31.2	86.99555555555555
31.4	89.96
31.6	88.93222222222222
31.8	94.24111111111111
32.0	96.56444444444445
32.2	104.42
32.4	105.66
32.6	110.5
32.8	105.19333333333333
33.0	105.86555555555556
33.2	106.6288888888889
33.4	102.72111111111111
33.6	103.78444444444445
33.8	101.92888888888889
34.0	100.57666666666667
34.2	95.39888888888889
34.4	102.42333333333333
34.6	99.85666666666667
34.8	101.28111111111112
35.0	98.90222222222222
