E	I
4	272.14166666666665
4.2	272.14166666666665
4.4	272.14166666666665
4.6	272.14166666666665
4.8	272.14166666666665
5.0	272.14166666666665
5.2	272.14166666666665
5.4	272.14166666666665
5.6	272.14166666666665
5.8	272.14166666666665
6.0	272.14166666666665
6.2	272.14166666666665
6.4	272.14166666666665
6.6	272.14166666666665
6.8	272.14166666666665
7.0	272.20138888888886
7.2	272.18999999999994
7.4	272.2608333333333
7.6	272.19
7.8	272.2011111111111
8.0	272.14166666666665
8.2	272.14166666666665
8.4	272.2125
8.6	272.2125
8.8	272.28333333333336
9.0	272.28333333333336
9.2	272.28333333333336
9.4	272.28333333333336
9.6	272.28333333333336
9.8	272.28333333333336
10.0	272.28333333333336
10.2	272.28333333333336
10.4	272.28333333333336
10.6	272.28333333333336
10.8	272.28333333333336
11.0	272.28333333333336
11.2	272.28333333333336
11.4	272.28333333333336
11.6	272.28333333333336
11.8	272.28333333333336
12.0	272.28333333333336
12.2	272.28333333333336
12.4	272.28333333333336
12.6	272.28333333333336
12.8	272.28333333333336
13.0	272.28333333333336
13.2	272.28333333333336
13.4	272.28333333333336
13.6	272.2830555555556
13.8	272.2816666666667
14.0	272.2705555555556
14.2	272.2338888888888
14.4	272.1497222222222
14.6	271.87833333333333
14.8	271.3986111111111
15.0	270.9577777777778
15.2	270.03222222222223
15.4	268.91555555555556
15.6	267.47361111111115
15.8	265.51416666666665
16.0	263.1741666666667
16.2	260.43083333333334
16.4	257.7525
16.6	254.3627777777778
16.8	251.06722222222223
17.0	247.41472222222222
17.2	243.67972222222224
17.4	239.74611111111113
17.6	235.5936111111111
17.8	231.56388888888887
18.0	227.0875
18.2	223.0272222222222
18.4	218.93138888888888
18.6	215.07972222222222
18.8	211.30388888888888
19.0	207.33194444444445
19.2	203.8438888888889
19.4	200.06
19.6	196.41750000000002
19.8	192.91916666666665
20.0	189.13083333333333
20.2	185.80166666666668
20.4	182.42833333333334
20.6	179.3758333333333
20.8	176.49416666666664
21.0	173.56944444444446
21.2	170.92472222222221
21.4	168.5961111111111
21.6	166.0861111111111
21.8	163.4377777777778
22.0	160.92944444444444
22.2	158.31166666666667
22.4	155.9625
22.6	153.72444444444443
22.8	151.14944444444444
23.0	148.35972222222222
23.2	145.61027777777778
23.4	143.13055555555556
23.6	140.7686111111111
23.8	139.00194444444446
24.0	137.06666666666666
24.2	135.04833333333335
24.4	133.27305555555557
24.6	130.97305555555556
24.8	128.95055555555552
25.0	127.20305555555557
25.2	125.10888888888888
25.4	123.38333333333334
25.6	121.90055555555557
25.8	120.13166666666667
26.0	118.68166666666666
26.2	117.16444444444444
26.4	115.5
26.6	114.05416666666667
26.8	112.695
27.0	111.37222222222222
27.2	110.02472222222222
27.4	108.53611111111111
27.6	106.96138888888889
27.8	105.50583333333333
28.0	104.15944444444443
28.2	102.95944444444444
28.4	101.76055555555556
28.6	100.45444444444443
28.8	99.15666666666667
29.0	97.8163888888889
29.2	96.55638888888888
29.4	95.38388888888888
29.6	94.19055555555555
29.8	93.12416666666667
30.0	92.02388888888888
30.2	90.9325
30.4	89.76527777777777
30.6	88.51388888888889
30.8	87.33249999999998
31.0	86.15916666666668
31.2	84.97194444444445
31.4	83.91277777777778
31.6	82.86083333333333
31.8	81.75555555555556
32.0	80.8125
32.2	79.86305555555555
32.4	78.97111111111111
32.6	78.06083333333333
32.8	77.20333333333333
33.0	76.0761111111111
33.2	75.04444444444445
33.4	74.27805555555555
33.6	73.35416666666667
33.8	72.59444444444445
34.0	71.75305555555556
34.2	70.65555555555557
34.4	69.71444444444444
34.6	68.78805555555556
34.8	68.18194444444444
35.0	67.85083333333333
