E	I
4	0.06558641975308642
4.2	0.06558641975308642
4.4	0.06365740740740741
4.6	0.06905864197530864
4.8	0.06963734567901235
5.0	0.0775462962962963
5.2	0.10532407407407408
5.4	0.1865354938271605
5.6	0.4112654320987654
5.8	0.9135802469135802
6.0	1.9259259259259258
6.2	3.6064814814814814
6.4	6.100501543209877
6.6	9.416280864197532
6.8	13.54957561728395
7.0	18.53221450617284
7.2	24.208912037037038
7.4	30.82021604938272
7.6	38.06597222222222
7.8	45.92881944444444
8.0	54.56018518518518
8.2	64.2860725308642
8.4	74.55902777777779
8.6	85.3900462962963
8.8	96.79494598765433
9.0	107.66145833333334
9.2	119.02411265432099
9.4	130.75964506172838
9.6	142.1003086419753
9.8	153.76929012345678
10.0	165.37326388888889
10.2	176.14930555555557
10.4	186.80208333333331
10.6	197.1988811728395
10.8	206.06346450617283
11.0	214.99556327160496
11.2	222.89313271604937
11.4	229.68402777777777
11.6	235.95871913580245
11.8	241.3287037037037
12.0	245.98765432098764
12.2	250.10802469135803
12.4	254.20293209876542
12.6	257.23109567901236
12.8	259.96624228395063
13.0	262.0364583333333
13.2	263.13368055555554
13.4	263.77951388888886
13.6	263.789737654321
13.8	262.84702932098764
14.0	261.44926697530866
14.2	259.2650462962963
14.4	256.4832175925926
14.6	253.1840277777778
14.8	249.05690586419755
15.0	244.94367283950618
15.2	240.31095679012344
15.4	235.4778163580247
15.6	230.8277391975309
15.8	225.81114969135803
16.0	221.2783564814815
16.2	216.96682098765433
16.4	213.046875
16.6	209.11882716049385
16.8	205.24074074074076
17.0	201.66628086419755
17.2	198.41975308641975
17.4	195.86111111111114
17.6	193.46489197530866
17.8	191.54629629629628
18.0	189.47125771604937
18.2	187.50733024691357
18.4	185.69945987654322
18.6	183.8746141975309
18.8	182.2212577160494
19.0	180.29185956790124
19.2	178.335262345679
19.4	176.10320216049382
19.6	173.88078703703704
19.8	171.32716049382717
20.0	168.57002314814815
20.2	165.60609567901236
20.4	162.40123456790124
20.6	159.30497685185185
20.8	156.04861111111111
21.0	152.72569444444443
21.2	149.2710262345679
21.4	145.86574074074073
21.6	142.7710262345679
21.8	139.51716820987653
22.0	136.48939043209876
22.2	133.30613425925924
22.4	130.13792438271605
22.6	127.35435956790123
22.8	124.51543209876543
23.0	122.21527777777777
23.2	119.60706018518519
23.4	117.3153935185185
23.6	115.25289351851852
23.8	113.03298611111111
24.0	111.19212962962962
24.2	109.47858796296296
24.4	107.4627700617284
24.6	105.78144290123456
24.8	104.29513888888889
25.0	102.61323302469137
25.2	101.28491512345678
25.4	99.79185956790124
25.6	98.49922839506172
25.8	97.2770061728395
26.0	96.18460648148147
26.2	95.20408950617285
26.4	94.04610339506173
26.6	92.7721836419753
26.8	91.75192901234568
27.0	90.49440586419753
27.2	89.37307098765433
27.4	88.39814814814815
27.6	87.08873456790124
27.8	86.22183641975309
28.0	85.22762345679013
28.2	84.14506172839506
28.4	83.05150462962963
28.6	81.82445987654322
28.8	80.53125
29.0	79.23996913580248
29.2	78.02777777777777
29.4	76.70949074074073
29.6	75.47878086419753
29.8	74.16743827160494
30.0	72.8792438271605
30.2	71.54340277777779
30.4	70.27334104938271
30.6	68.9886188271605
30.8	67.85918209876543
31.0	66.96720679012347
31.2	65.81693672839506
31.4	65.05748456790124
31.6	64.10532407407408
31.8	63.179591049382715
32.0	62.28491512345679
32.2	61.391589506172835
32.4	60.50559413580247
32.6	59.633101851851855
32.8	58.88908179012346
33.0	58.139660493827165
33.2	57.56925154320988
33.4	56.94907407407407
33.6	56.45119598765432
33.8	55.766589506172835
34.0	55.06655092592593
34.2	54.359375
34.4	53.66589506172839
34.6	52.98533950617284
34.8	52.33757716049383
35.0	51.88252314814815
