E	I
4	272.28333333333336
4.2	272.28333333333336
4.4	272.28333333333336
4.6	272.28333333333336
4.8	272.28333333333336
5.0	272.28333333333336
5.2	272.28333333333336
5.4	272.28333333333336
5.6	272.28333333333336
5.8	272.28333333333336
6.0	272.28333333333336
6.2	272.28333333333336
6.4	272.28333333333336
6.6	272.28333333333336
6.8	272.28333333333336
7.0	272.28333333333336
7.2	272.28333333333336
7.4	272.28333333333336
7.6	272.28333333333336
7.8	272.28333333333336
8.0	272.28333333333336
8.2	272.28333333333336
8.4	272.28333333333336
8.6	272.28333333333336
8.8	272.28333333333336
9.0	272.28333333333336
9.2	272.28333333333336
9.4	272.28333333333336
9.6	272.28333333333336
9.8	272.28333333333336
10.0	272.28333333333336
10.2	272.28333333333336
10.4	272.28333333333336
10.6	272.28333333333336
10.8	272.28333333333336
11.0	272.28333333333336
11.2	272.28333333333336
11.4	272.28333333333336
11.6	272.28333333333336
11.8	272.28333333333336
12.0	272.28333333333336
12.2	272.28333333333336
12.4	272.28333333333336
12.6	272.28333333333336
12.8	272.28333333333336
13.0	272.28333333333336
13.2	272.28333333333336
13.4	272.28333333333336
13.6	272.28333333333336
13.8	272.28333333333336
14.0	272.28333333333336
14.2	272.28333333333336
14.4	272.28333333333336
14.6	272.28333333333336
14.8	272.28333333333336
15.0	272.28333333333336
15.2	272.28333333333336
15.4	272.28333333333336
15.6	272.28333333333336
15.8	272.28333333333336
16.0	272.28333333333336
16.2	272.28333333333336
16.4	272.28333333333336
16.6	272.28333333333336
16.8	272.28333333333336
17.0	272.28333333333336
17.2	272.28333333333336
17.4	272.28333333333336
17.6	272.28333333333336
17.8	272.28333333333336
18.0	272.28333333333336
18.2	272.28333333333336
18.4	272.28333333333336
18.6	272.2816666666667
18.8	272.27777777777777
19.0	272.2683333333333
19.2	272.1972222222222
19.4	272.11749999999995
19.6	271.97055555555556
19.8	271.7291666666667
20.0	271.33805555555557
20.2	270.7113888888889
20.4	269.9822222222222
20.6	268.7741666666667
20.8	267.3861111111111
21.0	265.3822222222222
21.2	262.95888888888885
21.4	260.2761111111111
21.6	257.21972222222223
21.8	254.2636111111111
22.0	250.45694444444445
22.2	246.69833333333332
22.4	242.6461111111111
22.6	238.09166666666667
22.8	234.06055555555554
23.0	229.60944444444442
23.2	225.45527777777778
23.4	221.5788888888889
23.6	217.04638888888888
23.8	213.1475
24.0	208.9886111111111
24.2	205.0163888888889
24.4	201.65472222222223
24.6	198.14333333333335
24.8	194.87583333333333
25.0	191.59583333333336
25.2	188.7577777777778
25.4	186.07333333333335
25.6	183.79638888888888
25.8	181.78694444444443
26.0	179.77694444444444
26.2	177.82972222222224
26.4	176.09944444444446
26.6	174.85000000000002
26.8	173.92333333333332
27.0	173.2902777777778
27.2	172.49833333333333
27.4	171.77666666666667
27.6	171.11666666666667
27.8	170.7447222222222
28.0	170.45999999999998
28.2	170.14777777777778
28.4	169.93194444444444
28.6	169.5272222222222
28.8	169.09083333333334
29.0	168.60555555555555
29.2	168.0088888888889
29.4	166.97694444444443
29.6	166.00611111111112
29.8	164.47972222222222
30.0	162.70416666666665
30.2	161.03555555555556
30.4	159.06138888888887
30.6	156.82722222222222
30.8	154.68833333333333
31.0	152.1227777777778
31.2	149.1063888888889
31.4	146.51277777777779
31.6	143.34916666666666
31.8	140.3036111111111
32.0	137.2825
32.2	133.92083333333332
32.4	130.62388888888887
32.6	127.3738888888889
32.8	124.45944444444444
33.0	121.47194444444443
33.2	118.39527777777778
33.4	115.43416666666667
33.6	112.46027777777779
33.8	109.61611111111111
34.0	107.315
34.2	104.88944444444444
34.4	102.69972222222222
34.6	100.66416666666666
34.8	98.60944444444443
35.0	97.27083333333334
