E	I
4	9.0075
4.2	9.0075
4.4	9.401944444444444
4.6	10.344722222222222
4.8	10.979722222222222
5.0	11.395555555555555
5.2	11.694722222222222
5.4	11.910833333333333
5.6	12.05638888888889
5.8	12.084166666666668
6.0	12.141111111111112
6.2	12.035833333333334
6.4	11.75611111111111
6.6	11.361944444444443
6.8	10.840277777777779
7.0	10.362222222222222
7.2	9.822222222222223
7.4	9.395833333333334
7.6	8.98638888888889
7.8	8.54888888888889
8.0	8.204444444444444
8.2	7.746111111111111
8.4	7.331666666666667
8.6	6.911666666666667
8.8	6.520277777777778
9.0	6.202777777777778
9.2	5.859166666666667
9.4	5.613333333333333
9.6	5.368333333333333
9.8	5.181944444444445
10.0	5.011666666666667
10.2	4.815277777777777
10.4	4.6161111111111115
10.6	4.3933333333333335
10.8	4.248611111111111
11.0	4.103055555555555
11.2	3.9741666666666666
11.4	3.9202777777777778
11.6	3.7616666666666667
11.8	3.632222222222222
12.0	3.5541666666666663
12.2	3.4208333333333334
12.4	3.3191666666666664
12.6	3.2341666666666664
12.8	3.1261111111111113
13.0	3.0091666666666668
13.2	2.9336111111111114
13.4	2.856111111111111
13.6	2.7580555555555555
13.8	2.6716666666666664
14.0	2.5877777777777777
14.2	2.5108333333333333
14.4	2.464444444444444
14.6	2.431388888888889
14.8	2.3858333333333333
15.0	2.318888888888889
15.2	2.2588888888888885
15.4	2.1644444444444444
15.6	2.1194444444444445
15.8	2.0791666666666666
16.0	2.0316666666666663
16.2	1.9858333333333331
16.4	1.9330555555555555
16.6	1.8813888888888888
16.8	1.8080555555555555
17.0	1.7863888888888888
17.2	1.7530555555555554
17.4	1.6902777777777778
17.6	1.6666666666666665
17.8	1.6252777777777778
18.0	1.5816666666666668
18.2	1.5525
18.4	1.5047222222222223
18.6	1.455277777777778
18.8	1.4008333333333334
19.0	1.3669444444444445
19.2	1.3444444444444446
19.4	1.3508333333333333
19.6	1.317777777777778
19.8	1.2916666666666667
20.0	1.2641666666666667
20.2	1.211666666666667
20.4	1.1888888888888889
20.6	1.1419444444444444
20.8	1.0908333333333333
21.0	1.0191666666666668
21.2	0.9630555555555556
21.4	0.9280555555555556
21.6	0.9158333333333333
21.8	0.8902777777777778
22.0	0.8744444444444444
22.2	0.8644444444444446
22.4	0.8299999999999998
22.6	0.8244444444444443
22.8	0.7899999999999999
23.0	0.7772222222222223
23.2	0.7461111111111111
23.4	0.6961111111111111
23.6	0.6591666666666667
23.8	0.6141666666666666
24.0	0.5916666666666667
24.2	0.6391666666666667
24.4	0.6408333333333334
24.6	0.63
24.8	0.6352777777777778
25.0	0.5775
25.2	0.5805555555555555
25.4	0.5725
25.6	0.5688888888888889
25.8	0.5675
26.0	0.5533333333333332
26.2	0.5491666666666667
26.4	0.5227777777777778
26.6	0.4872222222222223
26.8	0.4691666666666667
27.0	0.4458333333333333
27.2	0.4091666666666667
27.4	0.4033333333333333
27.6	0.38611111111111107
27.8	0.4080555555555555
28.0	0.4408333333333333
28.2	0.4238888888888889
28.4	0.4361111111111111
28.6	0.4033333333333333
28.8	0.3761111111111111
29.0	0.39111111111111113
29.2	0.3888888888888889
29.4	0.38722222222222225
29.6	0.36277777777777775
29.8	0.32861111111111113
30.0	0.2911111111111111
30.2	0.28805555555555556
30.4	0.33222222222222225
30.6	0.35055555555555556
30.8	0.3461111111111111
31.0	0.3075
31.2	0.23333333333333334
31.4	0.2122222222222222
31.6	0.19416666666666665
31.8	0.20472222222222222
32.0	0.24222222222222223
32.2	0.23416666666666666
32.4	0.23666666666666666
32.6	0.26861111111111113
32.8	0.23833333333333334
33.0	0.2577777777777778
33.2	0.2786111111111111
33.4	0.2358333333333333
33.6	0.21666666666666665
33.8	0.18833333333333332
34.0	0.14833333333333332
34.2	0.12916666666666668
34.4	0.12833333333333333
34.6	0.125
34.8	0.17055555555555557
35.0	0.2088888888888889
