E	I
4	8.223333333333333
4.2	8.223333333333333
4.4	9.238055555555555
4.6	11.397222222222222
4.8	13.356388888888889
5.0	15.292222222222222
5.2	17.14527777777778
5.4	18.89944444444444
5.6	20.415
5.8	21.766111111111112
6.0	22.715000000000003
6.2	23.543055555555554
6.4	24.191944444444445
6.6	24.58833333333333
6.8	24.72888888888889
7.0	24.40972222222222
7.2	23.89972222222222
7.4	22.965833333333332
7.6	22.001666666666665
7.8	21.129166666666666
8.0	19.941388888888888
8.2	18.853333333333335
8.4	17.77027777777778
8.6	16.67027777777778
8.8	15.709444444444445
9.0	14.83611111111111
9.2	13.982500000000002
9.4	13.253055555555555
9.6	12.573055555555557
9.8	11.98611111111111
10.0	11.51361111111111
10.2	10.939444444444444
10.4	10.484166666666667
10.6	10.14472222222222
10.8	9.70611111111111
11.0	9.334166666666667
11.2	9.0525
11.4	8.663888888888888
11.6	8.376944444444444
11.8	8.131666666666666
12.0	7.917777777777778
12.2	7.676388888888889
12.4	7.452777777777778
12.6	7.321944444444444
12.8	6.990555555555555
13.0	6.7575
13.2	6.538333333333332
13.4	6.214722222222223
13.6	6.027222222222222
13.8	5.846666666666666
14.0	5.707777777777777
14.2	5.625555555555556
14.4	5.495833333333334
14.6	5.4655555555555555
14.8	5.3425
15.0	5.213611111111112
15.2	5.1175
15.4	5.006388888888889
15.6	4.974722222222222
15.8	4.900277777777777
16.0	4.848333333333333
16.2	4.764444444444444
16.4	4.591388888888889
16.6	4.5200000000000005
16.8	4.492777777777778
17.0	4.43
17.2	4.438888888888889
17.4	4.325
17.6	4.177222222222222
17.8	4.10138888888889
18.0	3.9808333333333334
18.2	3.9197222222222226
18.4	3.8708333333333336
18.6	3.726111111111111
18.8	3.6486111111111112
19.0	3.5811111111111114
19.2	3.513055555555556
19.4	3.443888888888889
19.6	3.366111111111111
19.8	3.322222222222222
20.0	3.1969444444444446
20.2	3.105555555555555
20.4	3.0105555555555554
20.6	2.9844444444444442
20.8	2.951111111111111
21.0	2.9194444444444443
21.2	2.904166666666667
21.4	2.7319444444444443
21.6	2.662777777777778
21.8	2.600833333333333
22.0	2.500277777777778
22.2	2.443611111111111
22.4	2.381388888888889
22.6	2.362222222222222
22.8	2.3158333333333334
23.0	2.3158333333333334
23.2	2.238888888888889
23.4	2.1805555555555554
23.6	2.2094444444444443
23.8	2.0636111111111113
24.0	2.0730555555555554
24.2	2.017777777777778
24.4	1.8791666666666667
24.6	1.9491666666666667
24.8	1.9055555555555554
25.0	1.9380555555555554
25.2	1.9991666666666665
25.4	1.9358333333333333
25.6	1.9330555555555555
25.8	1.8841666666666668
26.0	1.787777777777778
26.2	1.781388888888889
26.4	1.7619444444444445
26.6	1.7130555555555556
26.8	1.7252777777777777
27.0	1.7119444444444443
27.2	1.6891666666666665
27.4	1.6527777777777777
27.6	1.6455555555555557
27.8	1.6419444444444444
28.0	1.6752777777777776
28.2	1.675
28.4	1.6783333333333332
28.6	1.665
28.8	1.5680555555555558
29.0	1.5630555555555554
29.2	1.5302777777777776
29.4	1.4813888888888889
29.6	1.493611111111111
29.8	1.6099999999999999
30.0	1.6233333333333333
30.2	1.6627777777777777
30.4	1.6152777777777778
30.6	1.4466666666666668
30.8	1.381388888888889
31.0	1.3569444444444445
31.2	1.357222222222222
31.4	1.3219444444444444
31.6	1.281111111111111
31.8	1.2447222222222223
32.0	1.195
32.2	1.1730555555555555
32.4	1.1458333333333335
32.6	1.1030555555555557
32.8	1.0683333333333334
33.0	1.0380555555555555
33.2	1.0022222222222221
33.4	1.0280555555555555
33.6	1.0508333333333333
33.8	1.0941666666666665
34.0	1.0925
34.2	0.9780555555555556
34.4	0.9141666666666667
34.6	0.8775000000000001
34.8	0.8150000000000001
35.0	0.7744444444444445
