E	I
4	5.6
4.2	6.42
4.4	7.142222222222222
4.6	8.303333333333333
4.8	9.075555555555555
5.0	9.446666666666667
5.2	9.887777777777778
5.4	10.3
5.6	10.414444444444445
5.8	10.227777777777778
6.0	10.705555555555556
6.2	10.595555555555556
6.4	10.862222222222222
6.6	10.514444444444445
6.8	10.503333333333334
7.0	10.703333333333333
7.2	10.492222222222223
7.4	10.372222222222222
7.6	10.363333333333333
7.8	9.975555555555555
8.0	10.035555555555556
8.2	9.703333333333333
8.4	9.352222222222222
8.6	9.073333333333334
8.8	8.756666666666666
9.0	8.573333333333334
9.2	7.754444444444444
9.4	7.2844444444444445
9.6	6.6866666666666665
9.8	6.54
10.0	5.9911111111111115
10.2	5.576666666666667
10.4	5.221111111111111
10.6	5.266666666666667
10.8	4.9911111111111115
11.0	4.817777777777778
11.2	4.793333333333333
11.4	4.562222222222222
11.6	4.296666666666667
11.8	4.107777777777778
12.0	4.227777777777778
12.2	3.818888888888889
12.4	4.044444444444444
12.6	3.608888888888889
12.8	3.508888888888889
13.0	3.3244444444444445
13.2	3.28
13.4	3.0644444444444443
13.6	2.9633333333333334
13.8	2.9811111111111113
14.0	2.831111111111111
14.2	2.8844444444444446
14.4	2.851111111111111
14.6	2.6255555555555556
14.8	2.581111111111111
15.0	2.66
15.2	2.473333333333333
15.4	2.453333333333333
15.6	2.3144444444444443
15.8	2.312222222222222
16.0	2.571111111111111
16.2	2.6077777777777778
16.4	2.5233333333333334
16.6	2.578888888888889
16.8	1.9222222222222223
17.0	1.9844444444444445
17.2	1.8888888888888888
17.4	1.7944444444444445
17.6	1.731111111111111
17.8	1.6388888888888888
18.0	1.6044444444444443
18.2	1.5122222222222221
18.4	1.4555555555555555
18.6	1.461111111111111
18.8	1.3877777777777778
19.0	1.5611111111111111
19.2	1.6155555555555556
19.4	1.3533333333333333
19.6	1.3344444444444445
19.8	1.17
20.0	1.1577777777777778
20.2	1.1755555555555555
20.4	1.19
20.6	1.0955555555555556
20.8	1.0422222222222222
21.0	1.0811111111111111
21.2	1.0155555555555555
21.4	1.1288888888888888
21.6	0.97
21.8	1.1277777777777778
22.0	1.0422222222222222
22.2	1.431111111111111
22.4	1.458888888888889
22.6	0.9433333333333334
22.8	1.3455555555555556
23.0	1.018888888888889
23.2	0.9388888888888889
23.4	1.01
23.6	0.9211111111111111
23.8	1.048888888888889
24.0	0.7666666666666667
24.2	0.8244444444444444
24.4	1.3311111111111111
24.6	0.6222222222222222
24.8	0.9577777777777777
25.0	1.06
25.2	0.8844444444444445
25.4	1.0122222222222221
25.6	0.9022222222222223
25.8	0.7255555555555555
26.0	0.7855555555555556
26.2	0.6811111111111111
26.4	0.6866666666666666
26.6	0.8633333333333333
26.8	0.7977777777777778
27.0	0.7866666666666666
27.2	0.9311111111111111
27.4	0.89
27.6	0.61
27.8	0.6488888888888888
28.0	0.5555555555555556
28.2	0.7133333333333334
28.4	0.5866666666666667
28.6	0.6433333333333333
28.8	0.6377777777777778
29.0	0.6044444444444445
29.2	0.54
29.4	0.4411111111111111
29.6	0.56
29.8	0.9544444444444444
30.0	0.5633333333333334
30.2	0.6188888888888889
30.4	0.46444444444444444
30.6	0.5355555555555556
30.8	0.5855555555555556
31.0	0.8755555555555555
31.2	0.41444444444444445
31.4	0.4211111111111111
31.6	0.39
31.8	0.3888888888888889
32.0	0.9288888888888889
32.2	0.4266666666666667
32.4	0.45222222222222225
32.6	0.39444444444444443
32.8	0.4255555555555556
33.0	0.47
33.2	0.43444444444444447
33.4	0.4911111111111111
33.6	0.6244444444444445
33.8	0.26222222222222225
34.0	0.35777777777777775
34.2	0.5233333333333333
34.4	0.3655555555555556
34.6	0.4077777777777778
34.8	0.26
35.0	0.5
