E	I
4	66.20833333333334
4.2	66.20833333333333
4.4	64.07138888888889
4.6	59.78861111111111
4.8	55.69777777777777
5.0	51.70472222222222
5.2	48.028055555555554
5.4	44.58416666666667
5.6	40.91694444444444
5.8	37.402499999999996
6.0	33.8025
6.2	30.575000000000003
6.4	27.863055555555558
6.6	25.636944444444445
6.8	24.078055555555554
7.0	23.03388888888889
7.2	22.41111111111111
7.4	22.205277777777773
7.6	22.11611111111111
7.8	21.936666666666667
8.0	21.698055555555555
8.2	21.273611111111112
8.4	20.549166666666665
8.6	19.64472222222222
8.8	18.6375
9.0	17.25611111111111
9.2	15.885833333333332
9.4	14.394722222222223
9.6	12.920277777777779
9.8	11.6625
10.0	10.616388888888888
10.2	9.80861111111111
10.4	9.089722222222221
10.6	8.541666666666666
10.8	8.041666666666666
11.0	7.6930555555555555
11.2	7.4425
11.4	7.1994444444444445
11.6	7.038611111111112
11.8	6.9238888888888885
12.0	6.778611111111111
12.2	6.755
12.4	6.636111111111111
12.6	6.498888888888889
12.8	6.423333333333334
13.0	6.2333333333333325
13.2	6.177777777777777
13.4	6.09638888888889
13.6	6.175833333333333
13.8	6.273055555555556
14.0	6.374444444444444
14.2	6.520833333333334
14.4	6.573333333333333
14.6	6.640555555555555
14.8	6.7325
15.0	6.7575
15.2	6.775833333333334
15.4	6.8075
15.6	6.863888888888889
15.8	7.0075
16.0	7.136111111111111
16.2	7.232777777777778
16.4	7.200555555555556
16.6	6.962777777777777
16.8	6.667777777777777
17.0	6.31111111111111
17.2	5.981944444444444
17.4	5.695
17.6	5.370555555555555
17.8	5.051111111111111
18.0	4.676666666666667
18.2	4.315277777777777
18.4	4.014444444444444
18.6	3.735277777777778
18.8	3.5186111111111114
19.0	3.3241666666666667
19.2	3.089722222222222
19.4	2.8680555555555554
19.6	2.5969444444444445
19.8	2.348333333333333
20.0	2.15
20.2	1.9813888888888886
20.4	1.9097222222222223
20.6	1.7994444444444444
20.8	1.7036111111111112
21.0	1.6205555555555557
21.2	1.5250000000000001
21.4	1.4625
21.6	1.418888888888889
21.8	1.4066666666666665
22.0	1.4513888888888888
22.2	1.4902777777777778
22.4	1.4375
22.6	1.4572222222222222
22.8	1.2927777777777778
23.0	1.2155555555555555
23.2	1.1541666666666668
23.4	1.0563888888888888
23.6	1.0875
23.8	1.0419444444444443
24.0	1.0183333333333333
24.2	1.0630555555555556
24.4	1.0205555555555557
24.6	1.0261111111111112
24.8	1.0833333333333335
25.0	0.9908333333333335
25.2	1.0102777777777778
25.4	0.9844444444444443
25.6	0.9397222222222221
25.8	0.9163888888888889
26.0	0.8522222222222222
26.2	0.8377777777777778
26.4	0.8825000000000001
26.6	0.9150000000000001
26.8	0.9391666666666667
27.0	0.9847222222222223
27.2	0.995
27.4	0.995
27.6	1.0211111111111113
27.8	1.0069444444444444
28.0	0.9941666666666666
28.2	0.9997222222222223
28.4	0.9905555555555556
28.6	0.9980555555555556
28.8	1.0166666666666666
29.0	1.036388888888889
29.2	1.0302777777777778
29.4	1.0152777777777777
29.6	1.073611111111111
29.8	1.0680555555555555
30.0	1.0861111111111112
30.2	1.0966666666666667
30.4	1.0166666666666666
30.6	0.9983333333333333
30.8	1.0461111111111112
31.0	0.9930555555555556
31.2	0.9130555555555556
31.4	0.8766666666666667
31.6	0.7358333333333333
31.8	0.8108333333333333
32.0	0.7933333333333334
32.2	0.7274999999999999
32.4	0.6880555555555555
32.6	0.5386111111111112
32.8	0.5280555555555555
33.0	0.5016666666666667
33.2	0.5161111111111112
33.4	0.5291666666666667
33.6	0.46611111111111114
33.8	0.42888888888888893
34.0	0.40888888888888886
34.2	0.35
34.4	0.33944444444444444
34.6	0.3491666666666666
34.8	0.32972222222222225
35.0	0.35333333333333333
