E	I
4	18.12
4.2	17.4175
4.4	18.1475
4.6	16.235
4.8	15.8525
5.0	15.2125
5.2	14.6675
5.4	13.735
5.6	13.695
5.8	12.4475
6.0	11.995
6.2	11.4125
6.4	11.04
6.6	10.325
6.8	9.5
7.0	9.005
7.2	8.45
7.4	7.8175
7.6	7.545
7.8	6.885
8.0	6.595
8.2	6.215
8.4	5.58
8.6	5.3025
8.8	5.73
9.0	5.11
9.2	4.6975
9.4	4.1525
9.6	4.4725
9.8	4.21
10.0	4.0275
10.2	3.8925
10.4	3.6375
10.6	3.6725
10.8	3.6125
11.0	3.43
11.2	3.4225
11.4	3.4725
11.6	3.1825
11.8	3.4125
12.0	3.0475
12.2	2.9575
12.4	2.8375
12.6	2.79
12.8	2.8975
13.0	2.72
13.2	2.7575
13.4	2.685
13.6	2.3625
13.8	2.6225
14.0	2.3625
14.2	2.26
14.4	2.1475
14.6	2.145
14.8	2.05
15.0	2.0425
15.2	1.705
15.4	2.0125
15.6	2.0375
15.8	1.7075
16.0	1.6775
16.2	1.695
16.4	1.5825
16.6	1.4825
16.8	1.4475
17.0	1.64
17.2	1.515
17.4	1.5125
17.6	1.6325
17.8	1.385
18.0	1.4175
18.2	1.41
18.4	1.205
18.6	1.2525
18.8	1.0825
19.0	1.05
19.2	1.2475
19.4	1.22
19.6	1.01
19.8	0.97
20.0	0.855
20.2	0.925
20.4	0.955
20.6	0.77
20.8	1.055
21.0	0.92
21.2	1.2625
21.4	0.66
21.6	0.715
21.8	0.95
22.0	0.62
22.2	0.535
22.4	0.5275
22.6	0.8775
22.8	0.645
23.0	0.59
23.2	0.715
23.4	0.8075
23.6	0.6425
23.8	0.4975
24.0	0.55
24.2	0.7225
24.4	0.9525
24.6	0.4975
24.8	1.1725
25.0	0.5525
25.2	0.58
25.4	0.47
25.6	0.4425
25.8	0.505
26.0	0.3125
26.2	0.4675
26.4	0.345
26.6	0.5575
26.8	0.345
27.0	0.36
27.2	0.4075
27.4	0.435
27.6	0.485
27.8	0.4675
28.0	0.465
28.2	0.3
28.4	0.2975
28.6	0.39
28.8	0.1975
29.0	0.2475
29.2	0.435
29.4	0.205
29.6	0.2825
29.8	0.3825
30.0	0.1725
30.2	0.425
30.4	0.2025
30.6	0.17
30.8	0.2
31.0	0.38
31.2	0.3425
31.4	0.2525
31.6	0.165
31.8	0.1775
32.0	0.25
32.2	0.1925
32.4	0.1625
32.6	0.1425
32.8	0.155
33.0	0.1025
33.2	0.1025
33.4	0.105
33.6	0.2375
33.8	0.2425
34.0	0.2025
34.2	0.1825
34.4	0.1975
34.6	0.0825
34.8	0.1425
35.0	0.53
