E	I
4	4.473333333333334
4.2	3.5744444444444445
4.4	3.3766666666666665
4.6	3.8566666666666665
4.8	4.786666666666667
5.0	5.475555555555555
5.2	5.572222222222222
5.4	5.684444444444445
5.6	5.801111111111111
5.8	5.062222222222222
6.0	5.871111111111111
6.2	4.695555555555556
6.4	4.635555555555555
6.6	4.673333333333333
6.8	4.253333333333333
7.0	4.094444444444444
7.2	4.7844444444444445
7.4	4.453333333333333
7.6	4.525555555555556
7.8	2.761111111111111
8.0	3.311111111111111
8.2	3.2055555555555557
8.4	2.712222222222222
8.6	2.937777777777778
8.8	3.0566666666666666
9.0	3.331111111111111
9.2	3.0877777777777777
9.4	3.4755555555555557
9.6	3.6433333333333335
9.8	3.381111111111111
10.0	3.482222222222222
10.2	3.581111111111111
10.4	3.7111111111111112
10.6	3.8355555555555556
10.8	4.051111111111111
11.0	4.046666666666667
11.2	3.9988888888888887
11.4	4.541111111111111
11.6	4.12
11.8	3.8966666666666665
12.0	3.993333333333333
12.2	3.651111111111111
12.4	3.276666666666667
12.6	3.22
12.8	2.7544444444444443
13.0	3.0766666666666667
13.2	2.8366666666666664
13.4	2.408888888888889
13.6	2.361111111111111
13.8	2.3833333333333333
14.0	2.5633333333333335
14.2	2.351111111111111
14.4	2.3555555555555556
14.6	2.22
14.8	2.533333333333333
15.0	2.46
15.2	1.951111111111111
15.4	2.1344444444444446
15.6	1.89
15.8	2.387777777777778
16.0	1.8477777777777777
16.2	1.9822222222222223
16.4	1.8566666666666667
16.6	1.7466666666666666
16.8	1.64
17.0	1.75
17.2	1.4577777777777778
17.4	1.5344444444444445
17.6	1.488888888888889
17.8	1.498888888888889
18.0	1.4155555555555555
18.2	1.5955555555555556
18.4	1.4033333333333333
18.6	1.2366666666666666
18.8	1.4455555555555555
19.0	1.13
19.2	1.3633333333333333
19.4	1.1622222222222223
19.6	1.2844444444444445
19.8	1.0944444444444446
20.0	1.3477777777777777
20.2	1.1544444444444444
20.4	1.0866666666666667
20.6	1.1
20.8	1.0233333333333334
21.0	0.98
21.2	0.9766666666666667
21.4	0.9588888888888889
21.6	1.0811111111111111
21.8	0.9466666666666667
22.0	0.7988888888888889
22.2	0.83
22.4	0.9555555555555556
22.6	1.3066666666666666
22.8	0.9833333333333333
23.0	0.7322222222222222
23.2	0.8155555555555556
23.4	0.6155555555555555
23.6	0.6666666666666666
23.8	0.8088888888888889
24.0	0.6544444444444445
24.2	0.7333333333333333
24.4	0.8066666666666666
24.6	0.7666666666666667
24.8	0.5933333333333334
25.0	0.53
25.2	0.9677777777777777
25.4	0.5188888888888888
25.6	0.5333333333333333
25.8	0.46555555555555556
26.0	0.6011111111111112
26.2	0.5522222222222222
26.4	0.5466666666666666
26.6	0.51
26.8	0.5211111111111111
27.0	0.5633333333333334
27.2	0.4766666666666667
27.4	0.43444444444444447
27.6	0.4988888888888889
27.8	0.44
28.0	0.3566666666666667
28.2	0.5255555555555556
28.4	0.37777777777777777
28.6	0.4722222222222222
28.8	0.2777777777777778
29.0	0.3522222222222222
29.2	0.49333333333333335
29.4	0.30444444444444446
29.6	0.4177777777777778
29.8	0.3333333333333333
30.0	0.30444444444444446
30.2	0.37555555555555553
30.4	0.3233333333333333
30.6	0.3622222222222222
30.8	0.27666666666666667
31.0	0.29333333333333333
31.2	0.23222222222222222
31.4	0.3933333333333333
31.6	0.37666666666666665
31.8	0.4166666666666667
32.0	0.6877777777777778
32.2	0.22666666666666666
32.4	0.33444444444444443
32.6	0.3655555555555556
32.8	0.3788888888888889
33.0	0.31333333333333335
33.2	0.20555555555555555
33.4	0.17777777777777778
33.6	0.18222222222222223
33.8	0.3088888888888889
34.0	0.23222222222222222
34.2	0.1511111111111111
34.4	0.17555555555555555
34.6	0.5555555555555556
34.8	0.29777777777777775
35.0	0.17222222222222222
