E	I
4	11.231111111111112
4.2	11.015555555555556
4.4	10.852222222222222
4.6	11.154444444444444
4.8	11.59
5.0	12.873333333333333
5.2	13.133333333333333
5.4	13.21
5.6	13.866666666666667
5.8	13.998888888888889
6.0	14.373333333333333
6.2	15.016666666666667
6.4	15.123333333333333
6.6	15.69
6.8	16.293333333333333
7.0	16.205555555555556
7.2	15.908888888888889
7.4	16.59777777777778
7.6	15.87
7.8	15.513333333333334
8.0	14.837777777777777
8.2	14.372222222222222
8.4	13.545555555555556
8.6	13.007777777777777
8.8	12.56
9.0	11.952222222222222
9.2	11.35
9.4	10.696666666666667
9.6	10.063333333333333
9.8	9.852222222222222
10.0	9.18
10.2	8.797777777777778
10.4	8.632222222222222
10.6	8.38111111111111
10.8	7.974444444444444
11.0	7.623333333333333
11.2	7.8677777777777775
11.4	7.5
11.6	7.213333333333333
11.8	6.532222222222222
12.0	6.557777777777778
12.2	6.3
12.4	6.335555555555556
12.6	6.148888888888889
12.8	5.955555555555556
13.0	5.625555555555556
13.2	5.655555555555556
13.4	5.27
13.6	5.453333333333333
13.8	5.051111111111111
14.0	5.04
14.2	4.738888888888889
14.4	4.417777777777777
14.6	4.635555555555555
14.8	4.8933333333333335
15.0	4.208888888888889
15.2	4.173333333333333
15.4	3.971111111111111
15.6	3.962222222222222
15.8	3.6666666666666665
16.0	3.6277777777777778
16.2	3.508888888888889
16.4	3.5533333333333332
16.6	3.6
16.8	3.241111111111111
17.0	3.1077777777777778
17.2	2.878888888888889
17.4	2.89
17.6	2.9566666666666666
17.8	2.6055555555555556
18.0	2.66
18.2	2.513333333333333
18.4	3.1066666666666665
18.6	2.5077777777777777
18.8	2.4844444444444442
19.0	2.272222222222222
19.2	2.361111111111111
19.4	2.167777777777778
19.6	2.167777777777778
19.8	2.1355555555555554
20.0	2.5655555555555556
20.2	2.03
20.4	1.9244444444444444
20.6	1.9266666666666667
20.8	1.8888888888888888
21.0	1.9188888888888889
21.2	1.7577777777777779
21.4	1.8055555555555556
21.6	1.7744444444444445
21.8	1.6677777777777778
22.0	1.8488888888888888
22.2	1.6377777777777778
22.4	1.738888888888889
22.6	1.5577777777777777
22.8	1.728888888888889
23.0	1.6977777777777778
23.2	1.461111111111111
23.4	1.498888888888889
23.6	1.46
23.8	1.5355555555555556
24.0	1.3888888888888888
24.2	1.2444444444444445
24.4	1.3411111111111111
24.6	1.2155555555555555
24.8	1.1922222222222223
25.0	1.198888888888889
25.2	1.2677777777777777
25.4	1.271111111111111
25.6	1.218888888888889
25.8	1.2322222222222223
26.0	1.1388888888888888
26.2	1.0544444444444445
26.4	1.1244444444444444
26.6	1.1222222222222222
26.8	1.251111111111111
27.0	1.48
27.2	1.0022222222222221
27.4	1.19
27.6	0.9411111111111111
27.8	1.04
28.0	1.0333333333333334
28.2	0.9866666666666667
28.4	0.9966666666666667
28.6	0.9122222222222223
28.8	0.9222222222222223
29.0	0.8822222222222222
29.2	1.3122222222222222
29.4	0.8722222222222222
29.6	0.77
29.8	0.6822222222222222
30.0	0.7411111111111112
30.2	0.87
30.4	0.8933333333333333
30.6	0.7977777777777778
30.8	0.7033333333333334
31.0	0.7377777777777778
31.2	0.8722222222222222
31.4	0.6888888888888889
31.6	0.6744444444444444
31.8	0.5944444444444444
32.0	0.7977777777777778
32.2	0.6166666666666667
32.4	0.8366666666666667
32.6	0.7111111111111111
32.8	0.5055555555555555
33.0	0.47333333333333333
33.2	0.5055555555555555
33.4	0.48777777777777775
33.6	0.47333333333333333
33.8	0.5522222222222222
34.0	0.43666666666666665
34.2	0.6055555555555555
34.4	0.5033333333333333
34.6	0.51
34.8	0.37222222222222223
35.0	0.4955555555555556
