E	I
4.0	0.0
4.2	0.0
4.4	0.0
4.6	0.0022189349112426036
4.8	0.0040680473372781065
5.0	0.007026627218934911
5.2	0.0073964497041420114
5.4	0.0055473372781065095
5.6	0.004437869822485207
5.8	0.0014792899408284023
6.0	0.0011094674556213018
6.2	0.0007396449704142012
6.4	0.0011094674556213018
6.6	0.0022189349112426036
6.8	0.0025887573964497044
7.0	0.0033284023668639054
7.2	0.0022189349112426036
7.4	0.0029585798816568047
7.6	0.031804733727810654
7.8	0.15051775147928995
8.0	0.43860946745562135
8.2	0.9193786982248521
8.4	1.7163461538461537
8.6	2.7078402366863905
8.8	3.910502958579882
9.0	5.433431952662722
9.2	7.075443786982248
9.4	8.603920118343195
9.6	9.85576923076923
9.8	10.649408284023668
10.0	10.867973372781066
10.2	10.911242603550296
10.4	10.788831360946745
10.6	10.643860946745562
10.8	10.561020710059172
11.0	10.36723372781065
11.2	10.190828402366863
11.4	9.92455621301775
11.6	9.54733727810651
11.8	9.21042899408284
12.0	8.754068047337277
12.2	8.431582840236686
12.4	8.1875
12.6	7.943047337278106
12.8	7.688239644970414
13.0	7.226331360946745
13.2	6.859097633136095
13.4	6.4922337278106514
13.6	6.262573964497042
13.8	6.13387573964497
14.0	5.96819526627219
14.2	5.883505917159764
14.4	5.803994082840237
14.6	5.793639053254438
14.8	5.803994082840237
15.0	5.7825443786982245
15.2	5.775887573964497
15.4	5.689349112426036
15.6	5.617973372781065
15.8	5.541420118343195
16.0	5.537352071005917
16.2	5.577292899408284
16.4	5.548076923076923
16.6	5.627218934911243
16.8	5.572855029585799
17.0	5.5203402366863905
17.2	5.527366863905327
17.4	5.430843195266273
17.6	5.480769230769232
17.8	5.5044378698224845
18.0	5.499630177514793
18.2	5.535502958579882
18.4	5.532174556213018
18.6	5.478550295857988
18.8	5.467825443786982
19.0	5.476331360946746
19.2	5.372041420118343
19.4	5.387943786982249
19.6	5.301775147928994
19.8	5.121301775147929
20.0	5.062130177514794
20.2	4.899778106508876
20.4	4.846523668639054
20.6	4.752218934911243
20.8	4.64423076923077
21.0	4.472633136094674
21.2	4.365014792899408
21.4	4.323224852071006
21.6	4.252958579881657
21.8	4.293639053254438
22.0	4.1704881656804735
22.2	4.053254437869822
22.4	3.8701923076923075
22.6	3.6638313609467454
22.8	3.4848372781065087
23.0	3.319526627218935
23.2	3.212647928994083
23.4	3.12241124260355
23.6	3.01146449704142
23.8	2.9863165680473376
24.0	2.8768491124260356
24.2	2.8694526627218933
24.4	2.8258136094674553
24.6	2.715236686390533
24.8	2.655695266272189
25.0	2.455991124260355
25.2	2.398668639053254
25.4	2.2666420118343193
25.6	2.165310650887574
25.8	2.092455621301775
26.0	2.0196005917159763
26.2	2.01405325443787
26.4	2.01146449704142
26.6	2.007396449704142
26.8	1.9367603550295858
27.0	1.8738905325443787
27.2	1.7977071005917158
27.4	1.7477810650887573
27.6	1.7104289940828403
27.8	1.6645710059171597
28.0	1.6242603550295858
28.2	1.602810650887574
28.4	1.6590236686390534
28.6	1.7067307692307692
28.8	1.7533284023668638
29.0	1.7699704142011834
29.2	1.6320266272189348
29.4	1.533653846153846
29.6	1.430473372781065
29.8	1.3465236686390534
30.0	1.323594674556213
30.2	1.3106508875739644
30.4	1.3121301775147929
30.6	1.3117603550295858
30.8	1.3546597633136095
31.0	1.3150887573964496
31.2	1.3369082840236686
31.4	1.3468934911242603
31.6	1.3328402366863905
31.8	1.3394970414201184
32.0	1.3106508875739644
32.2	1.330991124260355
32.4	1.316568047337278
32.6	1.3846153846153846
32.8	1.3886834319526629
33.0	1.4278846153846154
33.2	1.522189349112426
33.4	1.4863165680473374
33.6	1.4988905325443787
33.8	1.3772189349112425
34.0	1.28698224852071
34.2	1.3036242603550297
34.4	1.2167159763313609
34.6	1.2045118343195265
34.8	1.217455621301775
35.0	1.1971153846153846
