E	I
2.0	0.0
2.2	0.008888888888888889
2.4	0.0077777777777777776
2.6	0.0044444444444444444
2.8	0.0044444444444444444
3.0	0.005555555555555556
3.2	0.0011111111111111111
3.4	0.0011111111111111111
3.6	0.0022222222222222222
3.8	0.005555555555555556
4.0	0.006666666666666667
4.2	0.04
4.4	0.15333333333333332
4.6	0.2388888888888889
4.8	0.36666666666666664
5.0	0.5911111111111111
5.2	0.6744444444444444
5.4	0.9166666666666666
5.6	1.1088888888888888
5.8	1.1755555555555555
6.0	1.3333333333333333
6.2	1.2044444444444444
6.4	1.1777777777777778
6.6	1.3722222222222222
6.8	2.04
7.0	2.9366666666666665
7.2	4.351111111111111
7.4	5.325555555555556
7.6	6.03
7.8	6.7122222222222225
8.0	7.166666666666667
8.2	8.083333333333334
8.4	9.251111111111111
8.6	10.317777777777778
8.8	11.312222222222223
9.0	12.517777777777777
9.2	13.367777777777778
9.4	13.476666666666667
9.6	12.658888888888889
9.8	12.665555555555555
10.0	12.394444444444444
10.2	11.973333333333333
10.4	11.29888888888889
10.6	10.824444444444444
10.8	10.016666666666667
11.0	9.494444444444444
11.2	8.865555555555556
11.4	8.53111111111111
11.6	8.166666666666666
11.8	7.763333333333334
12.0	7.397777777777778
12.2	7.047777777777778
12.4	6.566666666666666
12.6	6.423333333333333
12.8	5.98
13.0	5.735555555555556
13.2	5.653333333333333
13.4	5.523333333333333
13.6	5.292222222222223
13.8	5.296666666666667
14.0	5.211111111111111
14.2	4.984444444444445
14.4	4.872222222222222
14.6	5.033333333333333
14.8	4.915555555555556
15.0	4.8133333333333335
15.2	4.854444444444445
15.4	4.778888888888889
15.6	4.5633333333333335
15.8	4.638888888888889
16.0	4.485555555555556
16.2	4.377777777777778
16.4	4.53
16.6	4.516666666666667
16.8	4.407777777777778
17.0	4.431111111111111
17.2	4.338888888888889
17.4	4.3277777777777775
17.6	4.292222222222223
17.8	4.1755555555555555
18.0	4.226666666666667
18.2	4.067777777777778
18.4	4.11
18.6	4.1066666666666665
18.8	4.202222222222222
19.0	4.347777777777778
19.2	4.138888888888889
19.4	4.065555555555555
19.6	4.081111111111111
19.8	4.012222222222222
20.0	3.4922222222222223
20.2	3.5277777777777777
20.4	3.4944444444444445
20.6	3.3444444444444446
20.8	3.26
21.0	3.183333333333333
21.2	3.2344444444444442
21.4	3.1977777777777776
21.6	2.887777777777778
21.8	2.858888888888889
22.0	2.9655555555555555
22.2	2.9066666666666667
22.4	2.9
22.6	2.3855555555555554
22.8	2.4066666666666667
23.0	2.2455555555555557
23.2	2.147777777777778
23.4	2.1855555555555557
23.6	2.0833333333333335
23.8	2.0655555555555556
24.0	2.09
24.2	1.9166666666666667
24.4	1.99
24.6	1.8877777777777778
24.8	1.7777777777777777
25.0	1.8433333333333333
25.2	1.5977777777777777
25.4	1.5977777777777777
25.6	1.6688888888888889
25.8	1.461111111111111
26.0	1.43
26.2	1.3355555555555556
26.4	1.5722222222222222
26.6	1.5377777777777777
26.8	1.2922222222222222
27.0	1.4211111111111112
27.2	1.4022222222222223
27.4	1.4077777777777778
27.6	1.3688888888888888
27.8	1.2866666666666666
28.0	1.22
28.2	1.2766666666666666
28.4	1.0444444444444445
28.6	1.12
28.8	1.0611111111111111
29.0	0.9533333333333334
29.2	0.9222222222222223
29.4	1.1022222222222222
29.6	1.0477777777777777
29.8	1.0155555555555555
30.0	0.9133333333333333
30.2	1.2366666666666666
30.4	1.19
30.6	0.9444444444444444
30.8	0.9444444444444444
31.0	0.9022222222222223
31.2	0.9644444444444444
31.4	0.9188888888888889
31.6	0.9688888888888889
31.8	0.9411111111111111
32.0	0.9233333333333333
32.2	1.1388888888888888
32.4	1.1922222222222223
32.6	1.2666666666666666
32.8	0.8566666666666667
33.0	0.9677777777777777
33.2	0.8722222222222222
33.4	0.8655555555555555
33.6	0.8188888888888889
33.8	0.63
34.0	0.6122222222222222
34.2	0.6966666666666667
34.4	1.0166666666666666
34.6	1.1122222222222222
34.8	0.7711111111111111
35.0	0.9755555555555555
35.2	0.5722222222222222
35.4	0.4888888888888889
35.6	0.6666666666666666
35.8	0.6666666666666666
36.0	0.6588888888888889
36.2	0.6344444444444445
36.4	0.45555555555555555
36.6	0.5711111111111111
36.8	0.46
37.0	0.9122222222222223
37.2	0.7833333333333333
37.4	0.58
37.6	0.3977777777777778
37.8	0.4255555555555556
38.0	0.4
38.2	0.8488888888888889
38.4	0.5822222222222222
38.6	0.4266666666666667
38.8	0.61
39.0	0.72
39.2	0.7722222222222223
39.4	0.7766666666666666
39.6	0.7655555555555555
39.8	0.4211111111111111
40.0	0.3411111111111111
40.2	0.6944444444444444
40.4	0.4777777777777778
40.6	0.5033333333333333
40.8	0.4988888888888889
41.0	0.5088888888888888
41.2	0.7188888888888889
41.4	0.7311111111111112
41.6	0.7144444444444444
41.8	0.6988888888888889
42.0	0.4577777777777778
42.2	0.4988888888888889
42.4	0.4777777777777778
42.6	0.32666666666666666
42.8	0.30777777777777776
43.0	0.7355555555555555
43.2	0.29555555555555557
43.4	0.5288888888888889
43.6	0.4988888888888889
43.8	0.31
44.0	0.27111111111111114
44.2	0.44333333333333336
44.4	0.4166666666666667
