E	I
2.0	0.0005555555555555556
2.2	0.0005555555555555556
2.4	0.0005555555555555556
2.6	0.0008333333333333333
2.8	0.0008333333333333333
3.0	0.0008333333333333333
3.2	0.0008333333333333333
3.4	0.0005555555555555556
3.6	0.0002777777777777778
3.8	0.0011111111111111111
4.0	0.001388888888888889
4.2	0.0016666666666666668
4.4	0.0016666666666666668
4.6	0.0008333333333333333
4.8	0.0002777777777777778
5.0	0.0
5.2	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.6	0.0
6.8	0.0
7.0	0.0
7.2	0.001388888888888889
7.4	0.0022222222222222222
7.6	0.0025
7.8	0.0025
8.0	0.001388888888888889
8.2	0.0005555555555555556
8.4	0.0008333333333333333
8.6	0.0044444444444444444
8.8	0.028333333333333332
9.0	0.06722222222222222
9.2	0.13055555555555554
9.4	0.24444444444444444
9.6	0.39861111111111114
9.8	0.595
10.0	0.826111111111111
10.2	1.0797222222222222
10.4	1.3116666666666665
10.6	1.5852777777777778
10.8	1.8675000000000002
11.0	2.1402777777777775
11.2	2.484722222222222
11.4	2.8177777777777777
11.6	3.1316666666666664
11.8	3.400833333333333
12.0	3.614722222222222
12.2	3.8113888888888887
12.4	3.927777777777778
12.6	4.108333333333334
12.8	4.2347222222222225
13.0	4.313055555555556
13.2	4.521111111111111
13.4	4.597222222222222
13.6	4.707777777777778
13.8	4.823888888888889
14.0	4.842777777777778
14.2	4.960277777777778
14.4	5.025277777777778
14.6	5.0825
14.8	5.145555555555556
15.0	5.150277777777777
15.2	5.164166666666667
15.4	5.155555555555555
15.6	5.1530555555555555
15.8	5.091666666666667
16.0	5.091111111111111
16.2	5.115277777777778
16.4	5.144444444444445
16.6	5.183888888888889
16.8	5.195833333333333
17.0	5.132777777777778
17.2	5.013888888888889
17.4	4.937222222222222
17.6	4.857777777777778
17.8	4.838333333333334
18.0	4.788611111111111
18.2	4.775555555555556
18.4	4.703333333333333
18.6	4.606666666666667
18.8	4.611388888888889
19.0	4.546666666666667
19.2	4.52
19.4	4.556388888888889
19.6	4.489166666666666
19.8	4.382222222222222
20.0	4.304722222222223
20.2	4.191666666666666
20.4	4.088055555555556
20.6	4.092222222222222
20.8	4.049166666666666
21.0	4.043055555555555
21.2	4.053333333333333
21.4	4.018611111111111
21.6	4.006666666666667
21.8	3.964444444444444
22.0	3.9705555555555554
22.2	3.9819444444444447
22.4	3.916388888888889
22.6	3.788611111111111
22.8	3.626111111111111
23.0	3.4627777777777777
23.2	3.3786111111111112
23.4	3.3366666666666664
23.6	3.3655555555555554
23.8	3.3652777777777776
24.0	3.3152777777777773
24.2	3.285277777777778
24.4	3.224166666666667
24.6	3.1333333333333333
24.8	3.168055555555555
25.0	3.07
25.2	2.957222222222222
25.4	2.9652777777777777
25.6	2.8666666666666667
25.8	2.8658333333333337
26.0	2.843611111111111
26.2	2.827222222222222
26.4	2.809166666666667
26.6	2.740833333333333
26.8	2.733888888888889
27.0	2.6563888888888894
27.2	2.598888888888889
27.4	2.5825
27.6	2.5191666666666666
27.8	2.4450000000000003
28.0	2.4255555555555555
28.2	2.3408333333333333
28.4	2.3102777777777774
28.6	2.265
28.8	2.1836111111111114
29.0	2.1666666666666665
29.2	2.1386111111111115
29.4	2.0994444444444444
29.6	2.0511111111111116
29.8	2.0236111111111112
30.0	2.0122222222222224
30.2	2.0194444444444444
30.4	1.9733333333333334
30.6	1.9280555555555554
30.8	1.7972222222222223
31.0	1.72
31.2	1.6838888888888888
31.4	1.6158333333333332
31.6	1.586666666666667
31.8	1.5461111111111112
32.0	1.5911111111111111
32.2	1.6347222222222222
32.4	1.7013888888888888
32.6	1.6683333333333334
32.8	1.5522222222222222
33.0	1.4702777777777776
33.2	1.346111111111111
33.4	1.3155555555555556
33.6	1.255277777777778
33.8	1.1825
34.0	1.1316666666666668
34.2	1.1836111111111112
34.4	1.2838888888888889
34.6	1.3208333333333335
34.8	1.3961111111111113
35.0	1.2858333333333334
35.2	1.1322222222222222
35.4	1.1044444444444443
35.6	1.0275
35.8	1.051388888888889
36.0	1.1227777777777779
36.2	1.1477777777777778
36.4	1.1602777777777777
36.6	1.0888888888888888
36.8	1.1116666666666666
37.0	1.1388888888888888
37.2	1.1341666666666668
37.4	1.1505555555555556
37.6	1.2175
37.8	1.1072222222222223
38.0	1.3144444444444443
38.2	1.3527777777777776
38.4	1.1519444444444444
38.6	1.3911111111111112
38.8	1.2233333333333332
