E	I
2.0	0.003333333333333333
2.2	0.003333333333333333
2.4	0.0030555555555555557
2.6	0.0044444444444444444
2.8	0.005277777777777777
3.0	0.004722222222222222
3.2	0.004166666666666667
3.4	0.002777777777777778
3.6	0.0008333333333333333
3.8	0.0011111111111111111
4.0	0.0011111111111111111
4.2	0.0016666666666666666
4.4	0.0016666666666666666
4.6	0.0008333333333333333
4.8	0.0005555555555555556
5.0	0.0
5.2	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.6	0.0
6.8	0.0002777777777777778
7.0	0.0008333333333333333
7.2	0.0011111111111111111
7.4	0.0016666666666666666
7.6	0.0016666666666666666
7.8	0.0011111111111111111
8.0	0.0008333333333333333
8.2	0.001388888888888889
8.4	0.006388888888888889
8.6	0.017777777777777778
8.8	0.057222222222222216
9.0	0.12722222222222224
9.2	0.22694444444444445
9.4	0.3736111111111111
9.6	0.5269444444444444
9.8	0.7391666666666666
10.0	0.9758333333333333
10.2	1.232222222222222
10.4	1.5191666666666666
10.6	1.818888888888889
10.8	2.0919444444444446
11.0	2.395
11.2	2.728611111111111
11.4	3.0272222222222225
11.6	3.3330555555555557
11.8	3.626666666666667
12.0	3.8505555555555557
12.2	4.081944444444444
12.4	4.312777777777778
12.6	4.495555555555556
12.8	4.687222222222222
13.0	4.858333333333333
13.2	5.027222222222223
13.4	5.136666666666667
13.6	5.259444444444444
13.8	5.316666666666666
14.0	5.299722222222222
14.2	5.364166666666667
14.4	5.350277777777778
14.6	5.3405555555555555
14.8	5.352500000000001
15.0	5.281666666666666
15.2	5.221111111111111
15.4	5.161666666666666
15.6	5.143055555555556
15.8	5.09
16.0	5.068333333333333
16.2	5.091944444444445
16.4	5.014444444444445
16.6	5.0475
16.8	5.016944444444444
17.0	4.876111111111111
17.2	4.782500000000001
17.4	4.637222222222222
17.6	4.503055555555556
17.8	4.482777777777778
18.0	4.458888888888889
18.2	4.391944444444444
18.4	4.399722222222222
18.6	4.314444444444444
18.8	4.306666666666667
19.0	4.316944444444444
19.2	4.279722222222222
19.4	4.278888888888888
19.6	4.251111111111111
19.8	4.180555555555555
20.0	4.138888888888889
20.2	4.030277777777778
20.4	3.9608333333333334
20.6	3.8880555555555554
20.8	3.818888888888889
21.0	3.8366666666666664
21.2	3.7925
21.4	3.7866666666666666
21.6	3.749722222222222
21.8	3.8058333333333336
22.0	3.811666666666667
22.2	3.8425
22.4	3.756388888888889
22.6	3.586666666666667
22.8	3.4658333333333333
23.0	3.303888888888889
23.2	3.278611111111111
23.4	3.2133333333333334
23.6	3.1808333333333336
23.8	3.1680555555555556
24.0	3.1205555555555553
24.2	3.0941666666666667
24.4	3.0566666666666666
24.6	3.007222222222222
24.8	2.961388888888889
25.0	2.911944444444444
25.2	2.858055555555556
25.4	2.8158333333333334
25.6	2.7577777777777777
25.8	2.7055555555555557
26.0	2.658333333333333
26.2	2.6527777777777777
26.4	2.679166666666667
26.6	2.666388888888889
26.8	2.638333333333333
27.0	2.5855555555555556
27.2	2.5180555555555557
27.4	2.4758333333333336
27.6	2.413611111111111
27.8	2.3780555555555556
28.0	2.354722222222222
28.2	2.301111111111111
28.4	2.295
28.6	2.2130555555555556
28.8	2.1258333333333335
29.0	2.062222222222222
29.2	1.9880555555555555
29.4	1.954722222222222
29.6	1.9188888888888889
29.8	1.923888888888889
30.0	1.9474999999999998
30.2	1.9938888888888888
30.4	1.9638888888888888
30.6	1.9188888888888889
30.8	1.8280555555555555
31.0	1.7130555555555556
31.2	1.6652777777777779
31.4	1.6238888888888887
31.6	1.5836111111111109
31.8	1.5536111111111113
32.0	1.6086111111111112
32.2	1.6433333333333333
32.4	1.672222222222222
32.6	1.6311111111111112
32.8	1.5255555555555556
33.0	1.4469444444444444
33.2	1.3708333333333333
33.4	1.3558333333333332
33.6	1.3002777777777776
33.8	1.2152777777777777
34.0	1.1758333333333333
34.2	1.2019444444444445
34.4	1.2880555555555557
34.6	1.3163888888888888
34.8	1.378888888888889
35.0	1.2836111111111113
35.2	1.178611111111111
35.4	1.1666666666666667
35.6	1.0899999999999999
35.8	1.1127777777777776
36.0	1.1086111111111112
36.2	1.021388888888889
36.4	1.0
36.6	0.9405555555555556
36.8	1.0058333333333334
37.0	1.1358333333333333
37.2	1.0933333333333333
37.4	1.095
37.6	1.0530555555555554
37.8	0.9538888888888888
38.0	1.0558333333333334
38.2	1.0663888888888888
38.4	1.0094444444444444
38.6	1.0822222222222222
38.8	1.0533333333333332
39.0	1.1283333333333332
39.2	1.2163888888888887
39.4	1.2327777777777778
39.6	1.136111111111111
39.8	1.021111111111111
40.0	1.0022222222222221
40.2	0.9191666666666667
40.4	0.9380555555555556
40.6	0.9719444444444445
40.8	0.9002777777777778
41.0	0.966111111111111
41.2	1.028888888888889
