E	I
4.0	274.9926035502959
4.2	274.9926035502959
4.4	274.9926035502959
4.6	274.9926035502959
4.8	274.9926035502959
5.0	274.9926035502959
5.2	274.9926035502959
5.4	274.9926035502959
5.6	274.9926035502959
5.8	274.9926035502959
6.0	274.9926035502959
6.2	274.9926035502959
6.4	274.9926035502959
6.6	274.9926035502959
6.8	274.9926035502959
7.0	274.9926035502959
7.2	274.89829881656806
7.4	274.89829881656806
7.6	274.89829881656806
7.8	274.89829881656806
8.0	274.9926035502959
8.2	274.9926035502959
8.4	274.89829881656806
8.6	274.8039940828403
8.8	274.8039940828403
9.0	274.80399408284023
9.2	274.89829881656806
9.4	274.9926035502959
9.6	274.9926035502959
9.8	274.9926035502959
10.0	274.9926035502959
10.2	274.9926035502959
10.4	274.9926035502959
10.6	274.9926035502959
10.8	274.9926035502959
11.0	274.9926035502959
11.2	274.9926035502959
11.4	274.9926035502959
11.6	274.9926035502959
11.8	274.9926035502959
12.0	274.9926035502959
12.2	274.9926035502959
12.4	274.9926035502959
12.6	274.9926035502959
12.8	274.9926035502959
13.0	274.9926035502959
13.2	274.9926035502959
13.4	274.9926035502959
13.6	274.9926035502959
13.8	274.9926035502959
14.0	274.9926035502959
14.2	274.9926035502959
14.4	274.9926035502959
14.6	274.98039940828403
14.8	274.98039940828403
15.0	274.98039940828403
15.2	274.98039940828403
15.4	274.9926035502959
15.6	274.9926035502959
15.8	274.9926035502959
16.0	274.9926035502959
16.2	274.9926035502959
16.4	274.9615384615385
16.6	274.96153846153845
16.8	274.96153846153845
17.0	274.96153846153845
17.2	274.9926035502959
17.4	274.9926035502959
17.6	274.9926035502959
17.8	274.9563609467456
18.0	274.92048816568047
18.2	274.92048816568047
18.4	274.8816568047337
18.6	274.87684911242604
18.8	274.8757396449704
19.0	274.8350591715976
19.2	274.83210059171597
19.4	274.8306213017752
19.6	274.8202662721894
19.8	274.81508875739644
20.0	274.81213017751486
20.2	274.80695266272187
20.4	274.8058431952663
20.6	274.80399408284023
20.8	274.801775147929
21.0	274.80029585798815
21.2	274.7988165680473
21.4	274.833949704142
21.6	274.8298816568047
21.8	274.8672337278106
22.0	274.89681952662727
22.2	274.8561390532544
22.4	274.88794378698225
22.6	274.89977810650885
22.8	274.8949704142012
23.0	274.9123520710059
23.2	274.9301035502959
23.4	274.9301035502959
23.6	274.91494082840234
23.8	274.907174556213
24.0	274.8827662721894
24.2	274.8528106508876
24.4	274.83690828402365
24.6	274.82655325443784
24.8	274.8202662721893
25.0	274.80436390532543
25.2	274.7977071005917
25.4	274.8173076923077
25.6	274.8021449704142
25.8	274.8161982248521
26.0	274.81804733727813
26.2	274.83025147929
26.4	274.8132396449704
26.6	274.82100591715977
26.8	274.844674556213
27.0	274.82914201183434
27.2	274.79918639053255
27.4	274.791050295858
27.6	274.76331360946745
27.8	274.7315088757397
28.0	274.78328402366867
28.2	274.7429733727811
28.4	274.7614644970414
28.6	274.7647928994083
28.8	274.7248520710059
29.0	274.717825443787
29.2	274.6919378698225
29.4	274.6775147928994
29.6	274.68084319526633
29.8	274.657174556213
30.0	274.59134615384613
30.2	274.53439349112426
30.4	274.54474852071
30.6	274.48039940828403
30.8	274.4885355029586
31.0	274.4726331360947
31.2	274.33579881656806
31.4	274.2200443786983
31.6	274.04696745562137
31.8	273.9434171597633
32.0	273.74186390532543
32.2	273.57433431952666
32.4	273.3284023668639
32.6	272.95747041420117
32.8	272.64127218934914
33.0	272.2448224852071
33.2	271.85798816568047
33.4	271.2836538461538
33.6	270.4075443786982
33.8	269.5621301775148
34.0	268.29215976331363
34.2	266.9933431952663
34.4	265.8823964497042
34.6	264.6005917159763
34.8	263.1941568047337
35.0	262.08284023668637
