E	I
4.0	274.9926035502959
4.2	274.9926035502959
4.4	274.9926035502959
4.6	274.9926035502959
4.8	274.9926035502959
5.0	274.9926035502959
5.2	274.9926035502959
5.4	274.9926035502959
5.6	274.9926035502959
5.8	274.9926035502959
6.0	274.9926035502959
6.2	274.9926035502959
6.4	274.9926035502959
6.6	274.9926035502959
6.8	274.9926035502959
7.0	274.9926035502959
7.2	274.8039940828403
7.4	274.80399408284023
7.6	274.80399408284023
7.8	274.80399408284023
8.0	274.9926035502959
8.2	274.9926035502959
8.4	274.8039940828403
8.6	274.61538461538464
8.8	274.61538461538464
9.0	274.61538461538464
9.2	274.80399408284023
9.4	274.9926035502959
9.6	274.9926035502959
9.8	274.9926035502959
10.0	274.9926035502959
10.2	274.9926035502959
10.4	274.9926035502959
10.6	274.9926035502959
10.8	274.9926035502959
11.0	274.9926035502959
11.2	274.9926035502959
11.4	274.9926035502959
11.6	274.9926035502959
11.8	274.9926035502959
12.0	274.9926035502959
12.2	274.9926035502959
12.4	274.9926035502959
12.6	274.9926035502959
12.8	274.9926035502959
13.0	274.9926035502959
13.2	274.9926035502959
13.4	274.9926035502959
13.6	274.9926035502959
13.8	274.9926035502959
14.0	274.9926035502959
14.2	274.9926035502959
14.4	274.9926035502959
14.6	274.9578402366864
14.8	274.9578402366864
15.0	274.95784023668637
15.2	274.95784023668637
15.4	274.9926035502959
15.6	274.9926035502959
15.8	274.9926035502959
16.0	274.9926035502959
16.2	274.9926035502959
16.4	274.94859467455626
16.6	274.9485946745562
16.8	274.9485946745562
17.0	274.9485946745562
17.2	274.9926035502959
17.4	274.9926035502959
17.6	274.9926035502959
17.8	274.9208579881657
18.0	274.8539201183432
18.2	274.85207100591714
18.4	274.7758875739645
18.6	274.7721893491124
18.8	274.7599852071006
19.0	274.6919378698225
19.2	274.68786982248525
19.4	274.68417159763317
19.6	274.68084319526633
19.8	274.66198224852076
20.0	274.65828402366867
20.2	274.64903846153845
20.4	274.64201183431953
20.6	274.64460059171597
20.8	274.6386834319527
21.0	274.63720414201185
21.2	274.63313609467457
21.4	274.6937869822485
21.6	274.6838017751479
21.8	274.75258875739644
22.0	274.8169378698225
22.2	274.73779585798815
22.4	274.7973372781065
22.6	274.8095414201183
22.8	274.7917899408284
23.0	274.85170118343194
23.2	274.88350591715977
23.4	274.885724852071
23.6	274.88387573964496
23.8	274.87315088757396
24.0	274.8228550295858
24.2	274.7751479289941
24.4	274.71634615384613
24.6	274.6948964497042
24.8	274.6845414201183
25.0	274.64903846153845
25.2	274.6405325443787
25.4	274.6397928994083
25.6	274.62278106508876
25.8	274.62426035502955
26.0	274.5968934911242
26.2	274.61686390532543
26.4	274.5177514792899
26.6	274.52921597633133
26.8	274.53883136094674
27.0	274.3934911242604
27.2	274.23705621301775
27.4	274.0510355029586
27.6	273.7973372781065
27.8	273.5473372781065
28.0	273.36168639053255
28.2	272.8454142011834
28.4	272.58616863905326
28.6	272.1176035502958
28.8	271.63831360946745
29.0	271.14164201183434
29.2	270.51590236686394
29.4	269.69304733727813
29.6	268.9319526627219
29.8	268.04955621301775
30.0	266.98520710059177
30.2	266.0188609467456
30.4	264.94970414201185
30.6	263.9045857988166
30.8	262.83247041420117
31.0	261.86649408284023
31.2	260.7659023668639
31.4	259.6630917159763
31.6	258.3343195266272
31.8	256.83986686390534
32.0	255.29807692307696
32.2	253.64386094674555
32.4	251.8069526627219
32.6	249.99593195266274
32.8	247.7851331360947
33.0	245.78957100591717
33.2	243.9940828402367
33.4	241.93639053254438
33.6	239.86686390532543
33.8	237.47928994082838
34.0	234.9271449704142
34.2	232.13905325443787
34.4	229.42048816568047
34.6	226.82544378698222
34.8	223.92640532544377
35.0	221.93306213017752
