E	I
4.0	273.37352071005915
4.2	273.37352071005915
4.4	273.5547337278106
4.6	274.81139053254435
4.8	274.9926035502959
5.0	274.9926035502959
5.2	274.9926035502959
5.4	274.9926035502959
5.6	274.9926035502959
5.8	274.9926035502959
6.0	274.9926035502959
6.2	274.9926035502959
6.4	274.9926035502959
6.6	274.9926035502959
6.8	274.9926035502959
7.0	274.9926035502959
7.2	274.9926035502959
7.4	274.9926035502959
7.6	274.9926035502959
7.8	274.9926035502959
8.0	274.9926035502959
8.2	274.9926035502959
8.4	274.9926035502959
8.6	274.9926035502959
8.8	274.9926035502959
9.0	274.9926035502959
9.2	274.9926035502959
9.4	274.9926035502959
9.6	274.9926035502959
9.8	274.9926035502959
10.0	274.9926035502959
10.2	274.9926035502959
10.4	274.9926035502959
10.6	274.9926035502959
10.8	274.9926035502959
11.0	274.9926035502959
11.2	274.9926035502959
11.4	274.9926035502959
11.6	274.9926035502959
11.8	274.9926035502959
12.0	274.9926035502959
12.2	274.97485207100596
12.4	274.8812869822485
12.6	274.63757396449705
12.8	274.35428994082844
13.0	273.74630177514797
13.2	272.87204142011836
13.4	271.54289940828403
13.6	269.70710059171597
13.8	267.53920118343194
14.0	264.92122781065086
14.2	262.0440088757396
14.4	258.8202662721893
14.6	255.06139053254435
14.8	250.8753698224852
15.0	246.37019230769232
15.2	241.42196745562129
15.4	236.24297337278108
15.6	231.15495562130178
15.8	226.16642011834318
16.0	221.1564349112426
16.2	216.5673076923077
16.4	211.5846893491124
16.6	206.63350591715977
16.8	201.82248520710058
17.0	196.9326923076923
17.2	192.65014792899407
17.4	188.52551775147927
17.6	184.6046597633136
17.8	180.59319526627218
18.0	176.58136094674555
18.2	172.54992603550295
18.4	168.7022928994083
18.6	165.20340236686388
18.8	162.02736686390534
19.0	158.77810650887574
19.2	155.74112426035504
19.4	153.02403846153845
19.6	150.01035502958578
19.8	147.41826923076923
20.0	144.7707100591716
20.2	142.04326923076923
20.4	139.75221893491124
20.6	137.0144230769231
20.8	134.71412721893492
21.0	132.40495562130178
21.2	129.9996301775148
21.4	128.04844674556213
21.6	125.48853550295858
21.8	123.18306213017752
22.0	120.77995562130178
22.2	118.67677514792899
22.4	116.73557692307692
22.6	114.68897928994082
22.8	113.21782544378698
23.0	111.48039940828403
23.2	109.87795857988166
23.4	108.39349112426035
23.6	106.41309171597634
23.8	104.54992603550295
24.0	102.92825443786981
24.2	101.30880177514794
24.4	99.69637573964498
24.6	98.0414201183432
24.8	96.60096153846153
25.0	94.91272189349112
25.2	93.3639053254438
25.4	92.25406804733728
25.6	90.79918639053255
25.8	89.8539201183432
26.0	89.12758875739647
26.2	88.06397928994083
26.4	86.81028106508876
26.6	85.8076923076923
26.8	84.73594674556213
27.0	83.87721893491124
27.2	83.35761834319527
27.4	82.50443786982248
27.6	81.74371301775147
27.8	81.05806213017752
28.0	80.23372781065089
28.2	79.20636094674556
28.4	78.13757396449705
28.6	77.08875739644971
28.8	76.20414201183432
29.0	75.6708579881657
29.2	74.95229289940829
29.4	74.25813609467455
29.6	73.66531065088758
29.8	72.99260355029585
30.0	72.6305473372781
30.2	72.00739644970415
30.4	71.23372781065089
30.6	70.30029585798817
30.8	69.36205621301775
31.0	68.55510355029585
31.2	67.80177514792899
31.4	67.04068047337277
31.6	66.18454142011835
31.8	65.19008875739644
32.0	64.4789201183432
32.2	63.853180473372774
32.4	63.28994082840237
32.6	62.69859467455621
32.8	61.819526627218934
33.0	61.12795857988166
33.2	60.16974852071006
33.4	59.697855029585796
33.6	59.38572485207101
33.8	58.6301775147929
34.0	58.329142011834314
34.2	57.45710059171597
34.4	56.69119822485207
34.6	56.01627218934911
34.8	55.23853550295858
35.0	54.85761834319526
