E	I
4.0	125.74666666666667
4.2	113.0988888888889
4.4	105.58444444444444
4.6	99.55777777777777
4.8	97.45111111111112
5.0	94.44444444444444
5.2	93.58666666666667
5.4	95.13111111111111
5.6	97.85444444444444
5.8	105.19888888888889
6.0	116.36444444444444
6.2	122.00555555555556
6.4	113.78777777777778
6.6	134.23333333333332
6.8	103.53444444444445
7.0	126.76777777777778
7.2	124.52555555555556
7.4	147.62333333333333
7.6	139.98555555555555
7.8	116.89777777777778
8.0	91.29666666666667
8.2	121.82555555555555
8.4	117.26444444444445
8.6	110.65333333333334
8.8	103.77444444444444
9.0	99.80111111111111
9.2	94.89111111111112
9.4	92.3488888888889
9.6	88.85222222222222
9.8	86.03888888888889
10.0	85.95222222222222
10.2	85.21111111111111
10.4	87.53777777777778
10.6	89.48666666666666
10.8	92.85555555555555
11.0	100.28777777777778
11.2	108.75111111111111
11.4	116.51555555555555
11.6	127.80777777777777
11.8	134.28666666666666
12.0	141.57444444444445
12.2	144.29222222222222
12.4	150.45
12.6	152.9177777777778
12.8	147.04222222222222
13.0	139.82888888888888
13.2	135.51555555555555
13.4	134.38333333333333
13.6	119.20666666666666
13.8	116.72444444444444
14.0	107.55777777777777
14.2	104.29444444444445
14.4	100.05111111111111
14.6	91.77555555555556
14.8	90.41555555555556
15.0	86.97666666666667
15.2	85.00111111111111
15.4	80.95
15.6	78.51777777777778
15.8	75.00444444444445
16.0	72.58777777777777
16.2	71.35222222222222
16.4	66.98555555555555
16.6	66.38
16.8	66.55
17.0	65.9811111111111
17.2	65.13666666666667
17.4	63.08777777777778
17.6	62.946666666666665
17.8	63.90777777777778
18.0	65.67888888888889
18.2	65.34444444444445
18.4	64.52111111111111
18.6	66.98555555555555
18.8	70.09777777777778
19.0	72.47333333333333
19.2	75.35666666666667
19.4	76.80111111111111
19.6	82.0111111111111
19.8	86.52666666666667
20.0	92.03555555555556
20.2	97.8411111111111
20.4	101.50666666666666
20.6	105.59222222222222
20.8	116.11444444444444
21.0	116.85888888888888
21.2	126.39333333333333
21.4	136.67111111111112
21.6	138.5211111111111
21.8	139.65444444444444
22.0	149.4611111111111
22.2	154.9111111111111
22.4	158.48777777777778
22.6	172.76777777777778
22.8	169.9
23.0	179.95888888888888
23.2	182.95
23.4	183.92111111111112
23.6	189.94444444444446
23.8	193.36777777777777
24.0	196.40666666666667
24.2	194.87555555555556
24.4	199.7422222222222
24.6	186.16666666666666
24.8	197.37666666666667
25.0	199.48666666666668
25.2	209.08333333333334
25.4	208.26888888888888
25.6	206.82777777777778
25.8	216.32666666666665
26.0	211.1288888888889
26.2	206.27555555555554
26.4	196.82111111111112
26.6	208.20555555555555
26.8	182.65555555555557
27.0	195.2111111111111
27.2	197.11444444444444
27.4	185.53444444444443
27.6	176.74333333333334
27.8	174.33444444444444
28.0	160.26
28.2	161.4
28.4	154.38444444444445
28.6	157.14666666666668
28.8	150.06333333333333
29.0	151.42333333333335
29.2	151.0522222222222
29.4	138.72444444444446
29.6	145.45222222222222
29.8	138.50555555555556
30.0	142.04
30.2	139.73444444444445
30.4	140.92222222222222
30.6	141.53333333333333
30.8	140.51
31.0	149.00666666666666
31.2	139.95333333333335
31.4	155.44666666666666
31.6	160.08333333333334
31.8	156.17777777777778
32.0	161.64555555555555
32.2	169.2
32.4	190.36333333333334
32.6	174.49666666666667
32.8	199.30777777777777
33.0	198.68555555555557
33.2	189.60888888888888
33.4	211.70777777777778
33.6	199.90444444444444
33.8	214.25333333333333
34.0	198.74
34.2	221.89444444444445
34.4	218.16333333333333
34.6	209.5888888888889
34.8	214.1911111111111
35.0	219.48777777777778
