E	I
4.0	76.64312130177515
4.2	76.64312130177515
4.4	92.54031065088759
4.6	123.96708579881658
4.8	154.74260355029585
5.0	184.24889053254435
5.2	211.91494082840234
5.4	235.75221893491124
5.6	254.3376479289941
5.8	266.1682692307692
6.0	272.3816568047337
6.2	274.55436390532543
6.4	274.9700443786982
6.6	274.9926035502959
6.8	274.9926035502959
7.0	274.9926035502959
7.2	274.9926035502959
7.4	274.9926035502959
7.6	274.9926035502959
7.8	274.9926035502959
8.0	274.9926035502959
8.2	274.9926035502959
8.4	274.9926035502959
8.6	274.9926035502959
8.8	274.9926035502959
9.0	274.9926035502959
9.2	274.9926035502959
9.4	274.9926035502959
9.6	274.9926035502959
9.8	274.9926035502959
10.0	274.9926035502959
10.2	274.9926035502959
10.4	274.9926035502959
10.6	274.9926035502959
10.8	274.98668639053255
11.0	274.96116863905326
11.2	274.8968195266272
11.4	274.6697485207101
11.6	274.0954142011834
11.8	273.2437130177515
12.0	272.04844674556216
12.2	270.4833579881657
12.4	268.7636834319527
12.6	266.37389053254435
12.8	263.64053254437874
13.0	260.5188609467456
13.2	256.603550295858
13.4	252.66974852071007
13.6	248.1505177514793
13.8	243.31508875739647
14.0	238.57507396449705
14.2	233.28920118343197
14.4	227.99630177514794
14.6	222.8065828402367
14.8	217.46708579881658
15.0	212.38202662721895
15.2	207.10428994082844
15.4	202.44452662721895
15.6	197.5477071005917
15.8	193.32285502958578
16.0	189.4996301775148
16.2	185.67418639053255
16.4	182.42566568047337
16.6	179.0155325443787
16.8	176.03735207100596
17.0	172.8239644970414
17.2	169.84541420118342
17.4	166.93971893491124
17.6	163.8032544378698
17.8	160.63165680473372
18.0	157.80436390532543
18.2	155.2670118343195
18.4	152.67529585798815
18.6	150.09208579881656
18.8	147.61353550295857
19.0	144.95857988165682
19.2	142.46116863905326
19.4	140.12610946745562
19.6	137.5676775147929
19.8	135.04400887573962
20.0	132.864275147929
20.2	130.72855029585799
20.4	128.69600591715977
20.6	126.27810650887574
20.8	124.03180473372781
21.0	121.60798816568047
21.2	119.09467455621302
21.4	117.20599112426035
21.6	114.87315088757396
21.8	112.68528106508874
22.0	110.27071005917159
22.2	107.72892011834318
22.4	105.30177514792899
22.6	103.04955621301775
22.8	101.13202662721893
23.0	99.09763313609467
23.2	96.90236686390533
23.4	94.72928994082841
23.6	92.48705621301775
23.8	90.53476331360947
24.0	88.96523668639054
24.2	87.31508875739645
24.4	85.86464497041419
24.6	83.9478550295858
24.8	82.05399408284023
25.0	80.22226331360946
25.2	78.30177514792899
25.4	77.24371301775147
25.6	75.72818047337277
25.8	74.5573224852071
26.0	73.84541420118343
26.2	72.78698224852073
26.4	72.02514792899409
26.6	71.50739644970415
26.8	70.76146449704143
27.0	69.81471893491124
27.2	69.3125
27.4	68.26738165680473
27.6	67.1985946745562
27.8	66.43528106508876
28.0	65.42603550295857
28.2	64.72448224852072
28.4	64.01738165680473
28.6	63.17455621301775
28.8	62.55251479289941
29.0	61.782544378698226
29.2	60.909393491124256
29.4	60.23557692307692
29.6	59.66457100591716
29.8	59.14016272189349
30.0	58.62315088757396
30.2	58.04511834319527
30.4	57.34430473372781
30.6	56.39940828402367
30.8	55.726331360946745
31.0	54.97485207100591
31.2	54.23076923076923
31.4	53.97633136094675
31.6	53.35502958579882
31.8	52.93454142011834
32.0	52.38498520710059
32.2	51.68195266272189
32.4	51.18934911242604
32.6	50.484467455621306
32.8	49.94896449704142
33.0	49.476331360946745
33.2	48.76960059171598
33.4	48.349112426035504
33.6	47.89164201183432
33.8	47.22152366863905
34.0	46.79807692307692
34.2	45.907174556213015
34.4	45.515162721893496
34.6	44.64238165680473
34.8	44.187130177514796
35.0	44.10650887573965
