E	I
4.0	20.295
4.2	19.6475
4.4	18.7975
4.6	17.6575
4.8	16.8475
5.0	15.6925
5.2	15.2875
5.4	14.82
5.6	13.3975
5.8	12.865
6.0	12.19
6.2	11.6375
6.4	11.105
6.6	10.4975
6.8	9.4125
7.0	9.405
7.2	8.91
7.4	7.8975
7.6	8.06
7.8	7.585
8.0	7.035
8.2	6.18
8.4	5.89
8.6	5.5175
8.8	5.4975
9.0	5.245
9.2	4.895
9.4	4.7575
9.6	4.7625
9.8	4.4275
10.0	4.26
10.2	4.085
10.4	4.0325
10.6	3.835
10.8	3.95
11.0	3.7175
11.2	3.335
11.4	3.63
11.6	3.36
11.8	3.4625
12.0	3.1775
12.2	3.1975
12.4	3.0625
12.6	3.19
12.8	3.0375
13.0	2.6975
13.2	2.88
13.4	2.655
13.6	2.955
13.8	2.575
14.0	2.7425
14.2	2.7425
14.4	2.4275
14.6	2.57
14.8	2.275
15.0	2.5175
15.2	2.51
15.4	2.215
15.6	2.22
15.8	2.055
16.0	2.005
16.2	1.9
16.4	1.7925
16.6	1.825
16.8	1.675
17.0	1.8025
17.2	1.8275
17.4	1.5325
17.6	1.41
17.8	1.6875
18.0	1.5325
18.2	1.555
18.4	1.605
18.6	1.4475
18.8	1.34
19.0	1.26
19.2	1.3125
19.4	1.325
19.6	1.1075
19.8	1.2325
20.0	1.1775
20.2	1.145
20.4	1.1225
20.6	1.38
20.8	0.8475
21.0	0.9875
21.2	0.8225
21.4	1.4025
21.6	1.0575
21.8	0.9475
22.0	0.9325
22.2	0.99
22.4	1.0125
22.6	0.7825
22.8	0.6775
23.0	0.8425
23.2	0.6575
23.4	0.66
23.6	0.615
23.8	0.725
24.0	0.76
24.2	0.645
24.4	0.495
24.6	1.1
24.8	0.845
25.0	0.62
25.2	0.735
25.4	0.745
25.6	0.705
25.8	1.0625
26.0	0.91
26.2	0.56
26.4	0.4325
26.6	0.5775
26.8	0.725
27.0	0.6475
27.2	0.5375
27.4	0.41
27.6	0.515
27.8	0.445
28.0	0.35
28.2	0.3575
28.4	0.4725
28.6	0.4225
28.8	0.4425
29.0	0.485
29.2	0.38
29.4	0.3125
29.6	0.395
29.8	0.42
30.0	0.27
30.2	0.4825
30.4	0.3775
30.6	0.32
30.8	0.725
31.0	0.4825
31.2	0.64
31.4	0.22
31.6	0.26
31.8	0.25
32.0	0.445
32.2	0.1875
32.4	0.255
32.6	0.445
32.8	0.12
33.0	0.37
33.2	0.2525
33.4	0.19
33.6	0.1875
33.8	0.5825
34.0	0.1975
34.2	0.1975
34.4	0.17
34.6	0.135
34.8	0.18
35.0	0.34
