E	I
4.0	47.34671875
4.2	47.34671875
4.4	45.931250000000006
4.6	42.988749999999996
4.8	40.12734375
5.0	37.104375000000005
5.2	34.363125
5.4	31.73328125
5.6	29.18359375
5.8	26.743125
6.0	24.5209375
6.2	22.54390625
6.4	20.901249999999997
6.6	19.60859375
6.8	18.5384375
7.0	17.758906250000003
7.2	17.1075
7.4	16.662968750000005
7.6	16.25625
7.8	15.92078125
8.0	15.574375
8.2	15.15390625
8.4	14.72203125
8.6	14.12671875
8.8	13.45484375
9.0	12.57078125
9.2	11.688906249999999
9.4	10.8465625
9.6	9.98375
9.8	9.239062500000001
10.0	8.4903125
10.2	7.891875
10.4	7.3931249999999995
10.6	6.952656249999999
10.8	6.6284374999999995
11.0	6.323124999999999
11.2	6.1195312500000005
11.4	6.00578125
11.6	5.9165625
11.8	5.82375
12.0	5.6525
12.2	5.4834375
12.4	5.28421875
12.6	5.136875
12.8	5.03703125
13.0	4.97578125
13.2	4.95921875
13.4	4.9434375
13.6	5.0131250000000005
13.8	5.08171875
14.0	5.120468750000001
14.2	5.14046875
14.4	5.190781250000001
14.6	5.154531250000001
14.8	5.168125
15.0	5.21359375
15.2	5.16984375
15.4	5.2109375
15.6	5.2320312499999995
15.8	5.18671875
16.0	5.1815625
16.2	5.156093749999999
16.4	5.085781249999999
16.6	5.01234375
16.8	4.85140625
17.0	4.71015625
17.2	4.54625
17.4	4.368124999999999
17.6	4.2015625
17.8	3.9850000000000003
18.0	3.7954687500000004
18.2	3.6103125
18.4	3.39484375
18.6	3.1971875
18.8	2.9640625000000003
19.0	2.74984375
19.2	2.60125
19.4	2.3896875
19.6	2.21625
19.8	2.0428125
20.0	1.881875
20.2	1.80234375
20.4	1.8253125
20.6	1.7349999999999999
20.8	1.6540625
21.0	1.55359375
21.2	1.47140625
21.4	1.46140625
21.6	1.38796875
21.8	1.33234375
22.0	1.21265625
22.2	1.1754687499999998
22.4	1.1551562499999999
22.6	1.11796875
22.8	1.064375
23.0	0.98265625
23.2	0.95
23.4	0.959375
23.6	0.94296875
23.8	0.9371875000000001
24.0	0.9451562499999999
24.2	0.91109375
24.4	1.0114062499999998
24.6	1.0334375
24.8	0.9720312499999999
25.0	0.9937500000000001
25.2	0.88890625
25.4	0.8490625
25.6	0.95390625
25.8	1.00734375
26.0	0.976875
26.2	0.93734375
26.4	0.8459375000000001
26.6	0.7778125
26.8	0.8115625
27.0	0.874375
27.2	0.85296875
27.4	0.8378125
27.6	0.80140625
27.8	0.7370312499999999
28.0	0.74
28.2	0.75015625
28.4	0.739375
28.6	0.75140625
28.8	0.7965625000000001
29.0	0.765
29.2	0.76703125
29.4	0.7609375
29.6	0.73125
29.8	0.71140625
30.0	0.7357812499999999
30.2	0.7376562499999999
30.4	0.7178125
30.6	0.819375
30.8	0.799375
31.0	0.8670312499999999
31.2	0.8465624999999999
31.4	0.71640625
31.6	0.6549999999999999
31.8	0.58390625
32.0	0.54375
32.2	0.51578125
32.4	0.53390625
32.6	0.46281250000000007
32.8	0.48140625
33.0	0.45875
33.2	0.39593750000000005
33.4	0.37671875
33.6	0.43046875
33.8	0.41312499999999996
34.0	0.4290625
34.2	0.41609375000000004
34.4	0.28859375
34.6	0.28171875
34.8	0.2846875
35.0	0.31484375
